"id","lon","lat","date","d15n"
"neonHARV_033Picea abies (L.) Karst.",-72.175607,42.538302,2018,-2.1
"neonHARV_033Fraxinus americana L.",-72.175607,42.538302,2018,-1.5
"neonHARV_033Acer rubrum L.",-72.175607,42.538302,2018,-3.1
"neonHARV_035Betula lenta L.",-72.178072,42.539966,2018,-3.9
"neonHARV_035Acer rubrum L.",-72.178072,42.539966,2018,-3.9
"neonHARV_035Tsuga canadensis (L.) Carrière",-72.178072,42.539966,2018,-3.7
"neonHARV_037Tsuga canadensis (L.) Carrière",-72.179312,42.537308,2018,-3.6
"neonHARV_037Tsuga canadensis (L.) Carrière",-72.179312,42.537308,2018,-3.6
"neonHARV_037Acer rubrum L.",-72.179312,42.537308,2018,-4.2
"neonHARV_013Acer saccharum Marshall",-72.254598,42.392282,2018,-3
"neonHARV_013Pinus strobus L.",-72.254598,42.392282,2018,-0.8
"neonHARV_013Pinus strobus L.",-72.254598,42.392282,2018,-1.9
"neonHARV_013Quercus rubra L.",-72.254598,42.392282,2018,-2.2
"neonHARV_006Quercus rubra L.",-72.25372,42.403087,2018,-1.9
"neonHARV_006Quercus alba L.",-72.25372,42.403087,2018,-2.8
"neonHARV_006Quercus velutina Lam.",-72.25372,42.403087,2018,-4.2
"neonHARV_004Acer rubrum L.",-72.229737,42.427091,2018,-3.3
"neonHARV_004Carya ovata (Mill.) K. Koch",-72.229737,42.427091,2018,-1.5
"neonHARV_004Quercus alba L.",-72.229737,42.427091,2018,-2.3
"neonHARV_010Pinus strobus L.",-72.254599,42.424723,2018,-1.7
"neonHARV_010Quercus rubra L.",-72.254599,42.424723,2018,-4.7
"neonHARV_010Tsuga canadensis (L.) Carrière",-72.254599,42.424723,2018,-2.9
"neonHARV_022Pinus strobus L.",-72.198776,42.434188,2018,-1.6
"neonHARV_022Pinus strobus L.",-72.198776,42.434188,2018,-0.8
"neonHARV_022Pinus strobus L.",-72.198776,42.434188,2018,-1.4
"neonHARV_037Tsuga canadensis (L.) Carrière",-72.179312,42.537308,2018,-2.8
"neonHARV_021Acer rubrum L.",-72.250472,42.45243,2018,-5.3
"neonHARV_021Pinus strobus L.",-72.250472,42.45243,2018,-2.1
"neonHARV_021Pinus strobus L.",-72.250472,42.45243,2018,-1.9
"neonHARV_001Betula lenta L.",-72.258285,42.424246,2018,-3.3
"neonHARV_001Acer rubrum L.",-72.258285,42.424246,2018,-5.3
"neonHARV_001Quercus rubra L.",-72.258285,42.424246,2018,-2.7
"neonHARV_005Quercus rubra L.",-72.275158,42.489469,2018,-1.6
"neonHARV_005Quercus rubra L.",-72.275158,42.489469,2018,-1.5
"neonHARV_005Acer rubrum L.",-72.275158,42.489469,2018,-2.7
"neonHARV_005Quercus rubra L.",-72.275158,42.489469,2018,-1.5
"neonHARV_002Betula lenta L.",-72.259572,42.478565,2018,-1.9
"neonHARV_002Quercus rubra L.",-72.259572,42.478565,2018,-2.6
"neonHARV_002Betula lenta L.",-72.259572,42.478565,2018,-1.1
"neonHARV_020Fraxinus americana L.",-72.228878,42.436767,2018,-3.8
"neonHARV_020Acer rubrum L.",-72.228878,42.436767,2018,-3.7
"neonHARV_020Acer sp.",-72.228878,42.436767,2018,-4.4
"neonHARV_034Pinus sp.",-72.177968,42.535686,2018,-3.3
"neonHARV_034Pinus sp.",-72.177968,42.535686,2018,-3.1
"neonHARV_034Pinus sp.",-72.177968,42.535686,2018,-1.8
"neonBLAN_031NA",-78.070547,39.058809,2020,3.4
"neonBLAN_055Rhamnus davurica Pall.",-78.072521,39.061,2020,-1.7
"neonBLAN_038NA",-78.070917,39.057723,2020,1.8
"neonBLAN_055Juniperus virginiana L. var. virginiana",-78.072521,39.061,2020,0.6
"neonBLAN_032NA",-78.073305,39.058572,2020,-1.2
"neonBLAN_007Liriodendron tulipifera L.",-77.969265,39.085485,2020,-1.4
"neonBLAN_004NA",-77.962567,39.087516,2020,0.4
"neonBLAN_057Rhamnus davurica Pall.",-78.07441,39.057518,2020,-0.3
"neonBLAN_017Fraxinus americana L.",-77.970992,39.086353,2020,0.7
"neonBLAN_003NA",-77.963659,39.078872,2020,1.9
"neonBLAN_057Juniperus virginiana L. var. virginiana",-78.07441,39.057518,2020,-1.6
"neonBLAN_017Asimina triloba (L.) Dunal",-77.970992,39.086353,2020,-0.4
"neonBLAN_057Lonicera maackii (Rupr.) Herder",-78.07441,39.057518,2020,-0.3
"neonBLAN_053Lonicera maackii (Rupr.) Herder",-78.073686,39.058047,2020,-0.3
"neonBLAN_032Rhamnus davurica Pall.",-78.073305,39.058572,2020,-0.5
"neonBLAN_032Rhamnus davurica Pall.",-78.073305,39.058572,2020,-0.6
"neonBLAN_032Tetradium daniellii (Benn.) T.G. Hartley",-78.073305,39.058572,2020,2.9
"neonBLAN_001Ulmus sp.",-77.958389,39.087919,2020,-1
"neonBLAN_050Tetradium daniellii (Benn.) T.G. Hartley",-78.072602,39.058855,2020,0.5
"neonBLAN_044Ailanthus altissima (Mill.) Swingle",-78.072571,39.059389,2020,4.7
"neonBLAN_009Acer negundo L. var. negundo",-77.95775,39.086824,2020,-0.2
"neonBLAN_052Lonicera maackii (Rupr.) Herder",-78.071895,39.059365,2020,-0.5
"neonBLAN_052Prunus serotina Ehrh. var. serotina",-78.071895,39.059365,2020,-0.8
"neonBLAN_052Ailanthus altissima (Mill.) Swingle",-78.071895,39.059365,2020,3.2
"neonBLAN_052Ailanthus altissima (Mill.) Swingle",-78.071895,39.059365,2020,3.1
"neonBLAN_009Carya cordiformis (Wangenh.) K. Koch",-77.95775,39.086824,2020,-0.3
"neonBLAN_018Juglans nigra L.",-77.962499,39.081529,2020,-0.4
"neonBLAN_020NA",-77.980394,39.100938,2020,1.1
"neonBLAN_012Celtis occidentalis L.",-77.961088,39.082046,2020,0.1
"neonBLAN_012Acer negundo L. var. negundo",-77.961088,39.082046,2020,-0.8
"neonBLAN_033NA",-78.069151,39.058229,2020,6.1
"neonBLAN_012Quercus muehlenbergii Engelm.",-77.961088,39.082046,2020,0.8
"neonBLAN_036Juglans nigra L.",-78.073985,39.061573,2020,-1.9
"neonBLAN_047Robinia pseudoacacia L.",-78.074263,39.060777,2020,-0.1
"neonBLAN_048Quercus alba L.",-78.07596,39.061351,2020,-1.9
"neonBLAN_005Prunus serotina Ehrh. var. serotina",-77.971942,39.087456,2020,-2.3
"neonBLAN_005Quercus alba L.",-77.971942,39.087456,2020,-1
"neonBLAN_005Asimina triloba (L.) Dunal",-77.971942,39.087456,2020,-0.3
"neonBLAN_005Liriodendron tulipifera L.",-77.971942,39.087456,2020,-1.5
"neonBLAN_011Fraxinus americana L.",-77.974013,39.087243,2020,-1.1
"neonBLAN_011Fraxinus americana L.",-77.974013,39.087243,2020,-1
"neonBLAN_004Robinia pseudoacacia L.",-77.962567,39.087516,2020,0.1
"neonBLAN_001Celtis occidentalis L.",-77.958389,39.087919,2020,-0.5
"neonBLAN_015Carya cordiformis (Wangenh.) K. Koch",-77.954623,39.087544,2020,-0.4
"neonBLAN_015Juglans nigra L.",-77.954623,39.087544,2020,-1
"neonBLAN_004Acer negundo L. var. negundo",-77.962567,39.087516,2020,0.1
"neonBLAN_013Quercus rubra L.",-77.96809,39.080851,2020,-0.8
"neonBLAN_063Pinus strobus L.",-78.075994,39.060809,2020,-1.2
"neonSCBI_005Quercus alba L.",-78.16186,38.900538,2017,0
"neonSCBI_005Fraxinus americana L.",-78.16186,38.900538,2017,0.4
"neonSCBI_005Liriodendron tulipifera L.",-78.16186,38.900538,2017,-0.6
"neonSCBI_004Juglans nigra L.",-78.146458,38.896938,2017,-1.6
"neonSCBI_004Fraxinus americana L.",-78.146458,38.896938,2017,-2
"neonSCBI_004Quercus velutina Lam.",-78.146458,38.896938,2017,-1.8
